ID,taxonID,kingdom,phylum,class,order,family,genus,scientificName,taxonRank,vernacularName
622239,622239,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Dolerus,Dolerus subfasciatus,species,
622224,622224,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Dolerus,Dolerus yukonensis,species,
741277,741277,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Empria,Empria maculata,species,
621354,621354,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Eriocampa,Eriocampa ovata,species,
617458,617458,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Rhogogaster,Rhogogaster viridis,species,
617433,617433,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Strongylogaster,Strongylogaster macula,species,
566653,566653,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris arcticana,species,
566555,566555,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris schalleriana,species,
565733,565733,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Ancylis,Ancylis tineana,species,
564477,564477,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia occultana,species,
562779,562779,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,Clepsis moeschleriana,species,
562774,562774,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,Clepsis persicana,species,
568051,568051,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia inopiosa,species,
568020,568020,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia piperana,species,
567474,567474,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Endothenia,Endothenia hebesana,species,
566252,566252,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia albangulana,species,
565578,565578,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia solandriana,species,
563399,563399,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eulia,Eulia ministrana,species,
562838,562838,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Hystrichophora,Hystrichophora asphodelana,species,
564941,564941,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Rhopobota,Rhopobota naevana,species,
563041,563041,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Zeiraphera,Zeiraphera improbana,species,
455441,455441,Animalia,Arthropoda,Insecta,Hymenoptera,Torymidae,Megastigmus,Megastigmus atedius,species,
317673,317673,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Symmorphus,Symmorphus cristatus,species,
568382,568382,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Swammerdamia,Swammerdamia caesiella,species,
567300,567300,Animalia,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha senex,species,
669770,669770,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Dryobates pubescens,species,
673736,673736,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Dryobates villosus,species,
159869,159869,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Chrysothricaceae,Chrysothrix,Chrysothrix candelaris,species,
167114,167114,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Baeomycetaceae,Baeomyces,Baeomyces rufus,species,
171320,171320,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Baeomycetaceae,Icmadophila,Icmadophila ericetorum,species,
169745,169745,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Caliciaceae,Calicium,Calicium viride,species,
167599,167599,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladina,Cladina mitis,species,
167612,167612,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladina,Cladina rangiferina,species,
167618,167618,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladina,Cladina stellaris,species,
167620,167620,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladina,Cladina stygia,species,
166739,166739,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Coniocybaceae,Chaenotheca,Chaenotheca trichialis,species,
