"SciName","SpeciesNote"
"Lecanora circumborealis",""
"Lecanora farinaria",""
"Lecanora fuliginosa",""
"Lecanora fuscescens",""
"Lecanora hagenii",""
"Lecanora piniperda",""
"Lecanora polytropa",""
"Lecanora pulicaris",""
"Lecanora rupicola",""
"Lecanora symmicta",""
"Lecanora varia","Synonym is Lecanora laxa."
"Lecidella elaeochroma",""
"Lecidella euphorea",""
"Lecidella wulfenii",""
"Lepidium densiflorum",""
"Lepidium ramosissimum",""
"Lepidozia reptans",""
"Lepraria incana",""
"Lepraria neglecta",""
"Leproloma membranaceum","Lepraria membranacea is synonym."
"Leptarrhena pyrolifolia",""
"Leptobryum pyriforme",""
"Leptodictyum humile",""
"Leptogium burnetiae",""
"Leptogium saturninum",""
"Leptogium teretiusculum",""
"Leucanthemum vulgare",""
"Leymus mollis",""
"Limprichtia revolvens",""
"Linaria vulgaris",""
"Linum perenne",""
"Liodessus obscurellus",""
"Liposcelis corrodens",""
"Litholomia napaea","Todd Eskelin has a specimen collected at the Kenai National Wildlife Refuge Headquarters building."
"Lloydia serotina",""
"Lobaria hallii",""
"Lolium perenne",""
"Lonchoptera uniseta","http://dx.doi.org/10.7299/X78G8KTD|Our single specimen was keyed tentatively to \itaxon{Lonchoptera!uniseta} using \citet{Curran1934a}. A COI sequence from this specimen fell into a BIN\footnote{\url{http://boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAP8889}} in which specimens identified as \itaxon{Lonchoptera!uniseta} and \itaxon{Lonchoptera!occidentalis} were included."
"Lontra canadensis",""
"Lopadium coralloideum",""
"Lopadium pezizoideum",""
"Lophocolea heterophylla",""
"Lophozia bicrenata",""
"Lophozia incisa",""
"Lophozia obtusa",""
"Lophozia sudetica",""
"Lophozia ventricosa",""
"Lota lota","1"
"Lupinus arcticus",""
"Lupinus nootkatensis",""
"Lupinus polyphyllus",""
"Luzula multiflora",""
"Luzula piperi",""
"Luzula spicata",""
"Luzula wahlenbergii",""
"Lycopodium annotinum",""
"Lycopodium clavatum",""
"Lycopodium lagopus",""
"Lygus borealis",""
"Lygus lupini",""
"Lygus punctatus",""
"Lygus rugulipennis",""
"Lygus shulli",""
"Lygus striatus",""
"Lymnaea atkaensis",""
"Lynx lynx",""
"Macoma balthica","Sadie Ulman had collected Baltic macomas in the mud flats at Chickaloon flats during her thesis work."
"Macrosiphum euphorbiae",""
