"transferred_to_FWSpecies_date","transfer_notes","Valid_in_Gbif_refuge_YY_NN_","Found_in_FWSpecies_Y_N_","Category","Scientific_Name","rank","Origin","authority","TSN","accepted_tsn","accepted_latin","duplicate","usage","unaccept_reason","comments","vernacularName","dateFirstObserved","extirpated","inaturalistobs","arctosGUID","notes_distribution","notes_taxonomic","notes_biology","kingdom","division","phylum","class","Order","suborder","Family","subfamily","genus","evidence_URL"
"","","?Y","","","Coenosia sp. SlikokOtu2038","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238726"
"","","?Y","","","Coleophora glitzella","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238646"
"","","?Y","","","Columella sp. BOLD:ABV1789","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240337"
"","","?Y","","","Conchapelopia americana","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239224"
"","","?Y","","","Conchapelopia sp. 4XL","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239751"
"","","?Y","","","Conchapelopia sp. BOLD:AAP8992","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239780"
"","","?Y","","","Conioscinella sp. TAW3","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239001"
"","","?Y","","","Constempellina brevicosta","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239033"
"","","?Y","","","Contacyphon variabilis","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240473"
"","","?Y","","","Cordyla sp. BOLD:AAP6493","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240702"
"","","?Y","","","Corynoptera blanda","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240122"
"","","?Y","","","Corynoptera sp. BOLD:ACG3227","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239882"
"","","?Y","","","Corynoptera sp. BOLD:ADC2113","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239902"
"","","?Y","","","Corynoptera sp. BOLD:ADK6917","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240297"
"","","?Y","","","Corynoptera subtrivialis","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240175"
"","","?Y","","","Craspedolepta schwarzi","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239645"
"","","?Y","","","Cricotopus sp. 15SG","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239364"
"","","?Y","","","Criomorphus sp. SlikokOtu228","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239175"
"","","?Y","","","Cryptinae sp. BOLD:AAH1778","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238669"
"","","?Y","","","Cryptinae sp. BOLD:AAN8142","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240523"
"","","?Y","","","Cryptinae sp. BOLD:AAU9435","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239276"
"","","?Y","","","Cryptinae sp. BOLD:ACD0494","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240023"
"","","?Y","","","Cryptinae sp. BOLD:ACZ6467","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239820"
"","","?Y","","","Cryptochironomus sp. BOLD:AAI6007","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240224"
"","","?Y","","","Culex territans","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240298"
"","","?Y","","","Culicidae sp. SlikokOtu1643","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239804"
"","","?Y","","","Culicinae sp. SlikokOtu1958","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239805"
"","","?Y","","","Culicoides obsoletus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238611"
"","","?Y","","","Culicoides stilobezzioides","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239321"
"","","?Y","","","Culiseta morsitans","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238588"
"","","?Y","","","Cylindrotoma distinctissima","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239082"
"","","?Y","","","Cynodontium tenellum","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Herb:11633"
"","","?Y","","","Dasiphora floribunda","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWRObs:Herb:386"
"","","?Y","","","Dasyhelea modesta","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239322"
"","","?Y","","","Dasyhelea sp. 23ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239071"
"","","?Y","","","Dasyhelea turficola","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240124"
"","","?Y","","","Dasysyrphus intrudens sp. complex","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239739"
"","","?Y","","","Delia fabricii","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240655"
"","","?Y","","","Delia sp. BOLD:AAG2471","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239530"
"","","?Y","","","Delia sp. cf. SSEIB12031-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239531"
"","","?Y","","","Delia tenuiventris","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240176"
"","","?Y","","","Delphacidae sp. SlikokOtu1556","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238698"
"","","?Y","","","Delphacidae sp. SlikokOtu272","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238622"
"","","?Y","","","Delphacidae sp. SlikokOtu560","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238700"
"","","?Y","","","Delphacidae sp. SlikokOtu909","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238701"
"","","?Y","","","Delphacidae sp. SlikokOtu951","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238702"
"","","?Y","","","Diapriidae sp. BOLD:AAU8951","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239177"
"","","?Y","","","Diapriidae sp. BOLD:AAU9299","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240850"
"","","?Y","","","Diapriidae sp. BOLD:ACD9846","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240498"
"","","?Y","","","Diapriidae sp. BOLD:ACG3695","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239760"
"","","?Y","","","Diapriidae sp. BOLD:ACR7121","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239761"
"","","?Y","","","Diapriidae sp. BOLD:ADD9643","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240389"
"","","?Y","","","Diapriidae sp. SlikokOtu1192","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240851"
"","","?Y","","","Diapriidae sp. SlikokOtu1208","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240154"
"","","?Y","","","Diapriidae sp. SlikokOtu1292","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240852"
"","","?Y","","","Diapriidae sp. SlikokOtu1464","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240853"
"","","?Y","","","Diapriidae sp. SlikokOtu1806","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240854"
"","","?Y","","","Diapriidae sp. SlikokOtu1807","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240855"
"","","?Y","","","Diapriidae sp. SlikokOtu2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240856"
"","","?Y","","","Diapriidae sp. SlikokOtu2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240857"
"","","?Y","","","Diapriidae sp. SlikokOtu2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240859"
"","","?Y","","","Diapriidae sp. SlikokOtu2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240860"
"","","?Y","","","Diapriidae sp. SlikokOtu2345","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240849"
"","","?Y","","","Diapriidae sp. SlikokOtu2346","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240858"
"","","?Y","","","Diapriidae sp. SlikokOtu621","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240861"
"","","?Y","","","Diapriidae sp. SlikokOtu783","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240862"
"","","?Y","","","Diastata vagans","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240205"
"","","?Y","","","Dichelotarsus fissilis","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239417"
"","","?Y","","","Dichelotarsus heteronychus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239382"
"","","?Y","","","Dichopygina sp. BOLD:AAP8780","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240499"
"","","?Y","","","Dicranomyia sp. BOLD:AAI1350","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238971"
"","","?Y","","","Dicranomyia sp. SlikokOtu1572","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238972"
"","","?Y","","","Dicranomyia sp. SlikokOtu2072","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238973"
"","","?Y","","","Dicranum leioneuron","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Herb:12284"
"","","?Y","","","Dicranum pallidisetum","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Herb:12222"
"","","?Y","","","Dicrotendipes modestus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240433"
"","","?Y","","","Dictyna brevitarsa","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240226"
"","","?Y","","","Dictyna uncinata","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239455"
"","","?Y","","","Dicyrtomidae sp. BOLD:AAN5070","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240054"
"","","?Y","","","Dicyrtomidae sp. BOLD:ACU7232","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240814"
"","","?Y","","","Dikraneura sp. BOLD:AAO8307","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240870"
"","","?Y","","","Dikraneura sp. BOLD:AAV0227","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240311"
"","","?Y","","","Dikraneura sp. SlikokOtu1253","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240817"
"","","?Y","","","Dikraneura sp. SlikokOtu1559","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238626"
"","","?Y","","","Dinotrema sp. jft01","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240501"
"","","?Y","","","Diplazon sp. BOLD:AAD1879","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240887"
"","","?Y","","","Diptera sp. SlikokOtu115","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240665"
"","","?Y","","","Diptera sp. SlikokOtu1214","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240663"
"","","?Y","","","Diptera sp. SlikokOtu1286","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240664"
"","","?Y","","","Diptera sp. SlikokOtu1341","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240666"
"","","?Y","","","Diptera sp. SlikokOtu1548","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240667"
"","","?Y","","","Diptera sp. SlikokOtu1738","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239511"
"","","?Y","","","Diptera sp. SlikokOtu1798","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240715"
"","","?Y","","","Diptera sp. SlikokOtu1819","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238613"
"","","?Y","","","Diptera sp. SlikokOtu1847","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238868"
"","","?Y","","","Diptera sp. SlikokOtu1909","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239512"
"","","?Y","","","Diptera sp. SlikokOtu1986","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240312"
"","","?Y","","","Diptera sp. SlikokOtu2041","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238801"
"","","?Y","","","Diptera sp. SlikokOtu2195","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239806"
"","","?Y","","","Diptera sp. SlikokOtu2276","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240313"
"","","?Y","","","Diptera sp. SlikokOtu2326","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240716"
"","","?Y","","","Diptera sp. SlikokOtu627","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240668"
"","","?Y","","","Diptera sp. SlikokOtu937","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240669"
"","","?Y","","","Ditomyiidae sp. BOLD:AAP8153","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240069"
"","","?Y","","","Dolerus gessneri","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240435"
"","","?Y","","","Dolerus sp. SlikokOtu789","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239420"
"","","?Y","","","Dolerus subfasciatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239421"
"","","?Y","","","Dolichopodidae sp. BOLD:ACC7206","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239807"
"","","?Y","","","Dorylomorpha xanthopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240013"
"","","?Y","","","Draeculacephala sp. BOLD:AAG8811","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239340"
"","","?Y","","","Drosophila affinis","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240227"
"","","?Y","","","Drosophila neotestacea","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240047"
"","","?Y","","","Drosophila sp. BOLD:ACC5507","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239630"
"","","?Y","","","Drosophila subquinaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240936"
"","","?Y","","","Drosophilidae sp. BOLD:ACA9551","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240818"
"","","?Y","","","Dryobates pubescens","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWRObs:Bird:441"
"","","?Y","","","Dryobates villosus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWRObs:Bird:291"
"","","?Y","","","Dynatosoma sp. BOLD:ACL3264","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240526"
"","","?Y","","","Dysstroma citrata","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238704"
"","","?Y","","","Eanus decoratus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238729"
"","","?Y","","","Elymana inornata","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240269"
"","","?Y","","","Empididae sp. BOLD:AAF9792","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240392"
"","","?Y","","","Empididae sp. BOLD:AAP8917","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238705"
"","","?Y","","","Empididae sp. SlikokOtu2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240768"
"","","?Y","","","Enchytraeidae sp. BOLD:ADE9617","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Ento:11042"
"","","?Y","","","Enchytraeidae sp. BOLD:ADE9618","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Ento:11074"
"","","?Y","","","Enchytraeidae sp. BOLD:ADF0623","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Ento:11067"
"","","?Y","","","Enchytraeidae sp. BOLD:ADF0959","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Ento:11071"
"","","?Y","","","Enchytraeidae sp. BOLD:ADF0980","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Ento:11059"
"","","?Y","","","Enchytraeidae sp. MOBIL2369-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/KNWR:Ento:11052"
"","","?Y","","","Encyrtidae sp. SlikokOtu765","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238876"
"","","?Y","","","Enytus apostata","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239950"
"","","?Y","","","Ephedrus plagiator","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239262"
"","","?Y","","","Ephedrus sp. SlikokOtu1477","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238937"
"","","?Y","","","Epinotia albangulana","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238706"
"","","?Y","","","Eremobina claudens","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239075"
"","","?Y","","","Erigone atra","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239226"
"","","?Y","","","Erioptera sp. BOLD:ABV1765","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239250"
"","","?Y","","","Erioptera sp. BOLD:ABW8836","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240073"
"","","?Y","","","Errastunus ocellaris","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240242"
"","","?Y","","","Euceraphis borealis","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238852"
"","","?Y","","","Euceraphis sp. SlikokOtu666","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238947"
"","","?Y","","","Euclytia flava","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240158"
"","","?Y","","","Euclytia sp. SlikokOtu889","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240157"
"","","?Y","","","Euconulus fulvus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240272"
"","","?Y","","","Eudorylas sabroskyi","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239116"
"","","?Y","","","Eudorylas slovacus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238742"
"","","?Y","","","Eudorylas sp. SlikokOtu2104","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239101"
"","","?Y","","","Euhybus triplex","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239459"
"","","?Y","","","Eulophidae sp. SlikokOtu1846","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238862"
"","","?Y","","","Eulophidae sp. SlikokOtu2155","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239491"
"","","?Y","","","Eupeodes lapponicus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238826"
"","","?Y","","","Eupeodes sp. SlikokOtu453","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238949"
"","","?Y","","","Eupithecia cf. misturata","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238845"
"","","?Y","","","Eupodidae sp. BOLD:AAL8163","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240244"
"","","?Y","","","Eurois occulta","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239944"
"","","?Y","","","Euscelis sp. BOLD:ACG7815","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240793"
"","","?Y","","","Euthyneura sp. BOLD:AAF9859","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:238938"
"","","?Y","","","Evacanthus acuminatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239316"
"","","?Y","","","Evacanthus sp. nr. BOLD:ACW2814","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239315"
"","","?Y","","","Exechia borealis","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239763"
"","","?Y","","","Exechia contaminata","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239083"
"","","?Y","","","Exechia frigida","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239892"
"","","?Y","","","Exechia parva","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240906"
"","","?Y","","","Exechia sp. BOLD:AAM8996","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240230"
"","","?Y","","","Exechia sp. BOLD:AAQ3544","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:240528"
"","","?Y","","","Exechia sp. BOLD:ACC3725","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239753"
"","","?Y","","","Exechia sp. BOLD:ACO2323","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239631"
"","","?Y","","","Exechia sp. BOLD:ACX9219","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239425"
"","","?Y","","","Exechia sp. SlikokOtu1639","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239855"
"","","?Y","","","Exechia sp. SlikokOtu1955","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239856"
"","","?Y","","","Exechia sp. SlikokOtu887","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://arctos.database.museum/guid/UAMObs:Ento:239666"
