"transferred_to_FWSpecies_date","transfer_notes","Valid_in_Gbif_refuge_YY_NN_","Found_in_FWSpecies_Y_N_","Category","Scientific_Name","rank","Origin","authority","TSN","accepted_tsn","accepted_latin","duplicate","usage","unaccept_reason","comments","vernacularName","dateFirstObserved","extirpated","inaturalistobs","arctosGUID","notes_distribution","notes_taxonomic","notes_biology","kingdom","division","phylum","class","Order","suborder","Family","subfamily","genus","evidence_URL"
"","","","","Arthropods","Symphoromyia sp. bold:aap6399","Species","Native","","-620138",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Rhagionidae","","Symphoromyia",NA
"","","","","Arthropods","Cratyna sp. bold:aah3993","Species","Native","","-620083",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Sciaridae","","Cratyna",NA
"","","YY","N","Arthropods","Phytosciara prosciaroides","Species","Native","Tuomikoski, 1960","-620131",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Sciaridae","","Phytosciara",NA
"","","","","Arthropods","Pteromicra sp.","Species","Native","","-619934",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Sciomyzidae","Sciomyzinae","Pteromicra",NA
"","","YN","Y","Arthropods","Simulium rostratum","Species","Native","(Lundstrom, 1911)","-619233",NA,"",NA,"invalid","not reviewed, USFWS record","Identification obtained through DNA barcode.","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Simuliidae","Simuliinae","Simulium",NA
"","","YY","N","Arthropods","Beris hauseri","Species","Native","Stuke, 2004","-620034",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Stratiomyidae","Beridinae","Beris",NA
"","","","","Arthropods","Helophilus sp. BOLD:AAA3292","Species","Native","","-620106",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","This BOLD BIN (\url{http://dx.doi.org/10.5883/BOLD:AAA3292}) includes specimens identified as \itaxon{Helophilus!sp. nov.}, \itaxon{Helophilus!affinis}, \itaxon{Helophilus!groenlandicus}, and \itaxon{Helophilus!hybridus}.","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Syrphidae","Eristalinae","Helophilus",NA
"","","","","Arthropods","Melangyna sp. bold:abx6571","Species","Native","","-620110",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","Our COI sequence from a specimen tentatively identified as \itaxon{Melangyna!lasiophthalma} was placed in a BIN with other specimens identified as \itaxon{Melangyna} from western North America\footnote{\url{http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABX6571}}, but this BIN was distinct from a BIN identified as \itaxon{Melangyna!lasiophthalma}\footnote{\url{http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAK7221}}.","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Syrphidae","Syrphinae","Melangyna",NA
"","","YY","N","Arthropods","Chaitophorus neglectus","Species","Native","Hottes & Frison, 1931","-619331",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Aphididae","","Chaitophorus",NA
"","","YY","N","Arthropods","Euceraphis papyrifericola","Species","Native","Blackman, 2002","-619334",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Aphididae","","Euceraphis",NA
