Region,Refuge Code,Refuge Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Refuge Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Origin,Origin Tags,Abundance,FWS Tags,Refuge Tags,Internal Refuge Tags,ExternalLinks,State Status
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Sciuridae,89663,180135,Active,Sciuridae,Chipmunks,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Sciuridae,89696,180165,Active,Tamiasciurus,Red squirrels,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red squirrel,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Soricomorpha,,595449,709662,Active,Soricomorpha,Insectivores,Insectivora,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Soricomorpha,Soricidae,88121,179928,Active,Sorex,Red-toothed shrews,Microsorex,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,Common shrew,Sorex cinereus nigriculus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,Pygmy shrew,Microsorex hoyi,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,Montane shrew,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Soricomorpha,Soricidae,88120,179927,Active,Soricidae,Shrews,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,79505,175299,Active,Accipiter,Birds of prey,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern goshawk,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned hawk,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,79485,175280,Active,Accipitridae,Eagles,Accipitrinae,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80428,175406,Active,Aquila,Golden Eagles,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden eagle,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,79561,175349,Active,Buteo,Buteonine Hawks,Asturina,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed hawk,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged hawk,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80453,175429,Active,Circus,Harriers,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern harrier,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80441,175418,Active,Haliaeetus,Fish Eagles,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald eagle,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Pandionidae,81836,175589,Active,Pandion,Ospreys,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,,76607,174982,Active,Anseriformes,Ducks,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77769,175062,Active,Anas,Unidentified teal,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,Northern pintail,Anas acuta acuta,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American wigeon,Mareca americana,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77806,175096,Active,Anas clypeata,Northern shoveler,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77790,175081,Active,Anas crecca,Green-winged teal,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77795,175086,Active,Anas discors,Blue-winged teal,Anas discors discors,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77770,175063,Active,Anas platyrhynchos,Mallard,Anas oustaleti,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77781,175073,Active,Anas strepera,Gadwall,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,76608,174983,Active,Anatidae,Ducks,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77721,175019,Active,Anser,Bean geese,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77723,175020,Active,Anser albifrons,Greater white-fronted goose,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77736,175032,Active,Anser cygnoides,Chinese goose,,Accepted,No,Approved,Present,,Non-native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77838,175124,Active,Aythya,Diving ducks,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Bird,2,Anseriformes,Anatidae,77839,175125,Active,Aythya americana,Redhead,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
