ID	locality	occurrenceStatus	establishmentMeans	source	countryCode	locationID
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111823	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111824	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111825	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111826	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111827	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111828	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111829	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111830	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111832	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111833	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111835	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111836	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111837	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111838	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111839	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111840	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111841	US	GADM:Kenai Peninsula
