ID	taxonID	kingdom	phylum	class	order	family	scientificName	taxonRank
5105	5105	Animalia	Arthropoda	Collembola	Collembola	Neelidae	Megalothorax minimus Willem, 1900	species
542588	542588	Animalia	Arthropoda	Insecta	Archaeognatha	Machilidae	Petridiobius arcticus (Folsom, 1902)	species
861453	861453	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Melanophila acuminata (De Geer, 1774)	species
4415	4415	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara alpina (Paykull, 1790)	species
5384	5384	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara brunnea (Gyllenhal, 1810)	species
5372	5372	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Amara obesa (Say, 1823)	species
913520	913520	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Blethisa quadricollis Haldeman, 1847	species
4375	4375	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus advena (LeConte, 1846)	species
4395	4395	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calathus ingratus Dejean, 1828	species
9307	9307	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus chamissonis Fischer von Waldheim, 1820	species
9315	9315	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus taedatus Fabricius, 1787	species
10821	10821	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Nebria piperi Van Dyke, 1925	species
10837	10837	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Notiophilus aquaticus (Linnaeus, 1758)	species
1040	1040	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Patrobus foveocollis (Eschscholtz, 1823)	species
2424	2424	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Platynus decentis (Say, 1823)	species
2691	2691	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus adstrictus Eschscholtz, 1823	species
2749	2749	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus brevicornis (Kirby, 1837)	species
2746	2746	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus riparius (Dejean, 1828)	species
10759	10759	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scaphinotus marginatus (Fischer von Waldheim, 1820)	species
1052	1052	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Sericoda bembidioides Kirby, 1837	species
918164	918164	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Sericoda bogemannii (Gyllenhal, 1813)	species
9251	9251	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Trechus chalybeus Dejean, 1831	species
580617	580617	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Judolia montivagans (Couper, 1864)	species
582607	582607	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus scutellatus (Say, 1824)	species
585185	585185	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Pachyta lamed (Linnaeus, 1758)	species
580477	580477	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Tetropium parvulum Casey, 1891	species
581229	581229	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Xylotrechus undulatus (Say, 1824)	species
618534	618534	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Bromius obscurus (Linnaeus, 1758)	species
22294	22294	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucella nymphaeae (Linnaeus, 1758)	species
614568	614568	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Phratora hudsonia Brown, 1951	species
22322	22322	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Plateumaris flavipes (Kirby, 1837)	species
22326	22326	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Plateumaris germari (Mannerheim, 1843)	species
562295	562295	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Anisosticta borealis Timberlake, 1943	species
556556	556556	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Calvia quatuordecimguttata (Linnaeus, 1758)	species
555818	555818	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Ceratomegilla ulkei Crotch, 1873	species
20603	20603	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccinella transversoguttata Faldermann, 1835	species
93448	93448	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccinella trifasciata Linnaeus, 1758	species
555823	555823	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Hippodamia falcigera Crotch, 1873	species
20587	20587	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Hippodamia tredecimpunctata (Linnaeus, 1758)	species
589196	589196	Animalia	Arthropoda	Insecta	Coleoptera	Cucujidae	Cucujus clavipes Fabricius, 1781	species
408575	408575	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Cryphalus ruficollis Hopkins, 1915	species
11627	11627	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dendroctonus rufipennis (Kirby, 1837)	species
400650	400650	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dorytomus leucophyllus (Motschulsky, 1845)	species
400652	400652	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dorytomus luridus (Mannerheim, 1853)	species
400654	400654	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dorytomus mannerheimi (Gemminger, 1871)	species
1179310	1179310	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dryocoetes affaber (Mannerheim, 1852)	species
1179422	1179422	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dryocoetes autographus (Ratzeburg, 1837)	species
408577	408577	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Dryocoetes caryi Hopkins, 1915	species
408606	408606	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips borealis Swaine, 1911	species
1179302	1179302	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips perturbatus (Eichhoff, 1869)	species
404227	404227	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Lepyrus gemellus Kirby, 1837	species
404819	404819	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Otiorhynchus ovatus (Linnaeus, 1758)	species
405364	405364	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Phloeotribus piceae Swaine, 1911	species
408688	408688	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pityophthorus nitidulus (Mannerheim, 1843)	species
408290	408290	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Scierus pubescens Swaine, 1924	species
401243	401243	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Sthereus quadrituberculatus Motschulsky, 1845	species
401327	401327	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Trichalophus alternatus (Say, 1831)	species
